,0,0,0,45
211,0,0,0,45
212,0,0,0,45
212,0,0,0,45
213,0,0,0,45
214,0,0,0,45
215,0,0,0,45
215,0,0,0,45
216,0,0,0,45
217,0,0,0,45
217,0,0,0,45
218,0,0,0,45
219,0,0,0,45
220,0,0,0,45
220,0,0,0,45
221,0,0,0,45
222,0,0,0,45
222,0,0,0,45
223,0,0,0,45
224,0,0,0,45
224,0,0,0,45
225,0,0,0,45
226,0,0,0,45
227,0,0,0,45
227,0,0,0,45
228,0,0,0,45
229,0,0,0,45
229,0,0,0,45
230,0,0,0,45
231,0,0,0,45
231,0,0,0,45
232,0,0,0,45
233,0,0,0,45
233,0,0,0,45
234,0,0,0,45
235,0,0,0,45
236,0,0,0,45
236,0,0,0,45
237,0,0,0,45
238,0,0,0,45
238,0,0,0,45
239,0,0,0,45
240,0,0,0,45
240,0,0,0,45
241,0,0,0,45
242,0,0,0,45
243,0,0,0,45
243,0,0,0,45
244,0,0,0,45
245,0,0,0,45
245,0,0,0,45
246,0,0,0,45
247,0,0,0,45
247,0,0,0,45
248,0,0,0,45
249,0,0,0,45
250,0,0,0,45
250,0,0,0,45
251,0,0,0,45
252,0,0,0,45
252,0,0,0,45
253,0,0,0,45
254,0,0,0,45
254,0,0,0,45
255,0,0,0,45
256,0,0,0,45
257,0,0,0,45
257,0,0,0,45
258,0,0,0,45
259,0,0,0,45
259,0,0,0,45
260,0,0,0,45
261,0,0,0,45
261,0,0,0,45
262,0,0,0,45
263,0,0,0,45
264,0,0,0,45
264,0,0,0,45
265,0,0,0,45
266,0,0,0,45
266,0,0,0,45
267,0,0,0,45
268,0,0,0,45
269,0,0,0,45
269,0,0,0,45
270,0,0,0,45
271,0,0,0,45
271,0,0,0,45
272,0,0,0,45
273,0,0,0,45
273,0,0,0,45
274,0,0,0,45
275,0,0,0,45
276,0,0,0,45
276,0,0,0,45
277,0,0,0,45
278,0,0,0,45
278,0,0,0,45
279,0,0,0,45
280,0,0,0,45
280,0,0,0,45
281,0,0,0,45
282,0,0,0,45
283,0,0,0,45
283,0,0,0,45
284,0,0,0,45
285,0,0,0,45
285,0,0,0,45
286,0,0,0,45
287,0,0,0,45
287,0,0,0,45
288,0,0,0,45
289,0,0,0,45
290,0,0,0,45
290,0,0,0,45
291,0,0,0,45
292,0,0,0,45
292,0,0,0,45
293,0,0,0,45
294,0,0,0,45
295,0,0,0,45
295,0,0,0,45
296,0,0,0,45
297,0,0,0,45
297,0,0,0,45
298,0,0,0,45
299,0,0,0,45
299,0,0,0,45
300,0,0,0,45
301,0,0,0,45
302,0,0,0,45
302,0,0,0,45
303,0,0,0,45
304,0,0,0,45
304,0,0,0,45
305,0,0,0,45
306,0,0,0,45
306,0,0,0,45
307,0,0,0,45
308,0,0,0,45
309,0,0,0,45
309,0,0,0,45
310,0,0,0,45
311,0,0,0,45
311,0,0,0,45
312,0,0,0,45
313,0,0,0,45
313,0,0,0,45
314,0,0,0,45
315,0,0,0,45
315,0,0,0,45
316,0,0,0,45
317,0,0,0,45
318,0,0,0,45
318,0,0,0,45
319,0,0,0,45
320,0,0,0,45
320,0,0,0,45
321,0,0,0,45
322,0,0,0,45
322,0,0,0,45
323,0,0,0,45
324,0,0,0,45
324,0,0,0,45
325,0,0,0,45
326,0,0,0,45
327,0,0,0,45
